Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
9	10	95	88	94	94	95	93	92	93	93	94	92	91	88
9	100	72	63	81	82	78	82	80	83	84	85	64	49	45
9	1000	8	5	46	39	34	16	17	34	25	35	3	2	0
9	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	97	95	96	94	95	95	96	96	96	95	96	95	94
10	10	95	90	96	93	94	92	93	94	94	94	89	91	88
10	100	76	69	81	86	85	79	84	84	83	82	62	56	54
10	1000	15	4	34	38	43	17	28	49	16	46	2	2	6
10	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	96	96	96	95	96	96	92	95	96	96	95	96	96
11	10	95	89	95	95	93	93	90	93	93	94	90	90	90
11	100	78	63	85	84	86	83	75	82	86	84	59	56	42
11	1000	10	5	34	35	32	13	42	51	24	41	2	2	2
11	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	96	95	93	96	96	95	96	93	96	96	96	95	95
12	10	94	87	92	94	93	93	92	91	94	94	93	89	90
12	100	79	67	83	82	82	81	82	83	82	83	55	50	46
12	1000	11	7	47	28	41	18	22	46	21	40	2	0	0
12	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	96	96	96	97	96	96	95	96	96	96	95	95	96
13	10	94	92	94	95	94	94	93	94	94	95	89	90	89
13	100	76	73	81	83	82	81	83	81	84	81	54	53	51
13	1000	10	10	40	31	42	12	32	29	24	34	2	0	4
13	10000	0	0	0	0	10	0	0	0	0	0	0	0	0
14	1	96	96	97	94	96	96	95	95	94	96	95	95	95
14	10	95	90	95	92	93	94	91	93	93	95	91	90	89
14	100	76	67	85	76	80	80	79	79	81	90	61	50	35
14	1000	14	7	38	54	47	22	21	21	33	39	3	2	0
14	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	96	95	97	96	96	96	95	93	96	96	95	95	96
15	10	93	87	95	95	94	94	94	93	94	95	90	90	89
15	100	74	66	86	84	85	80	84	78	82	82	65	52	34
15	1000	8	8	58	29	45	17	23	31	31	32	2	2	0
15	10000	0	0	0	0	0	0	0	0	0	7	0	0	0
16	1	95	96	96	95	95	95	96	96	96	95	96	96	95
16	10	93	90	94	94	94	94	91	93	94	95	91	92	90
16	100	74	68	84	86	85	87	79	78	82	85	61	52	36
16	1000	12	4	55	50	26	19	21	29	63	27	6	2	0
16	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1	95	95	96	95	95	95	96	94	96	96	96	95	95
17	10	93	91	95	94	93	94	92	93	89	94	92	89	89
17	100	75	63	84	81	85	77	84	81	79	84	61	56	49
17	1000	7	3	52	29	33	13	51	29	20	48	6	0	4
17	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1	95	96	95	95	95	95	95	95	96	95	95	96	96
18	10	94	91	94	94	93	93	92	93	94	94	91	90	89
18	100	78	71	79	81	85	83	79	78	83	86	60	52	46
18	1000	12	6	26	35	36	20	26	32	25	30	3	3	0
18	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	95	95	96	95	93	93	96	95	95	96	96	96	96
19	10	94	89	93	94	92	92	92	90	94	94	92	90	89
19	100	78	67	77	88	83	81	81	79	84	83	63	55	39
19	1000	17	4	33	35	44	21	28	18	47	46	0	0	2
19	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
20	1	96	96	95	96	96	95	94	96	95	96	96	95	95
20	10	95	88	95	95	94	93	92	92	94	95	91	93	87
20	100	78	64	85	87	81	81	78	85	84	84	60	58	51
20	1000	11	4	51	34	32	18	21	38	21	26	0	2	2
20	10000	0	0	0	0	0	0	0	0	0	4	0	0	0
21	1	96	96	95	96	96	96	96	96	95	96	94	95	95
21	10	94	87	95	95	94	93	92	94	93	96	90	90	89
21	100	76	62	86	84	84	80	80	83	82	88	62	49	45
21	1000	9	4	34	24	23	21	20	45	29	40	2	5	2
21	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1	95	96	96	95	95	95	95	95	94	96	95	96	97
22	10	94	91	95	94	94	95	93	93	93	94	89	90	90
22	100	78	66	84	82	86	79	79	81	83	85	66	50	42
22	1000	12	5	49	34	43	17	41	40	32	45	2	0	0
22	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1	96	95	96	94	96	94	95	94	97	95	96	96	96
23	10	94	88	95	93	93	91	93	93	94	94	91	90	90
23	100	78	67	88	77	82	78	83	80	81	84	59	53	41
23	1000	7	4	41	40	49	17	26	42	34	37	4	0	0
23	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1	95	96	97	96	94	95	96	95	94	96	96	96	96
24	10	93	89	95	95	93	93	93	91	93	94	92	90	89
24	100	76	67	83	89	78	80	78	81	83	85	56	47	47
24	1000	11	5	42	42	34	15	20	41	43	41	4	0	2
24	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	96	94	96	95	94	96	95	97	96	94	96	96	95
25	10	94	88	94	93	94	92	92	93	93	94	93	91	90
25	100	78	67	83	77	82	80	79	80	86	84	66	54	39
25	1000	15	8	35	47	64	17	14	68	30	28	4	0	0
25	10000	0	0	0	0	3	0	0	0	0	0	0	0	0
26	1	95	96	95	95	97	96	97	93	94	96	96	95	95
26	10	94	89	95	91	95	94	94	92	94	95	90	91	88
26	100	76	63	85	85	85	82	84	78	84	80	56	51	47
26	1000	12	7	46	34	47	18	28	30	26	36	2	0	0
26	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1	96	93	95	93	96	96	96	97	96	95	95	96	96
27	10	94	89	95	93	95	94	92	95	95	94	91	91	89
27	100	75	69	85	82	84	77	78	80	85	83	59	60	40
27	1000	12	5	35	58	37	19	38	20	28	38	3	0	0
27	10000	0	0	0	0	0	0	0	0	0	2	0	0	0
28	1	96	95	97	95	95	96	95	96	95	96	95	96	95
28	10	95	89	95	94	93	93	94	93	93	93	92	90	89
28	100	78	68	81	83	86	83	79	80	80	85	55	54	42
28	1000	10	7	23	31	44	20	14	20	21	45	0	0	0
28	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1	95	95	93	96	95	96	95	95	95	95	95	95	95
29	10	94	90	92	95	94	93	92	94	93	94	90	89	90
29	100	76	70	84	81	87	76	85	79	86	85	51	53	50
29	1000	9	5	39	41	57	14	22	41	43	35	2	0	2
29	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1	96	95	95	97	94	96	94	95	94	95	95	95	95
30	10	95	87	93	96	94	93	93	93	91	94	92	91	88
30	100	77	64	84	87	85	80	78	83	80	86	66	58	40
30	1000	14	4	44	39	34	17	26	43	27	43	3	0	0
30	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1	94	97	95	95	96	95	95	95	95	96	93	96	94
31	10	93	90	94	95	92	92	93	94	92	95	92	89	89
31	100	78	70	81	85	88	81	84	81	82	85	54	49	41
31	1000	10	7	28	53	51	12	40	66	35	45	4	2	2
31	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1	96	95	95	95	96	95	95	96	93	95	95	95	96
32	10	95	86	93	94	94	94	92	94	92	95	91	90	89
32	100	77	68	83	85	88	81	78	83	79	83	59	58	45
32	1000	11	8	38	52	37	21	15	21	33	41	4	0	0
32	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1	95	94	96	96	94	95	96	95	97	96	96	95	96
33	10	94	89	94	95	93	94	93	94	94	94	93	90	87
33	100	75	69	84	83	82	77	81	82	81	84	61	50	45
33	1000	9	2	40	32	37	12	18	17	31	40	4	0	2
33	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1	96	94	96	96	96	96	96	95	95	96	96	95	95
34	10	94	88	93	93	93	95	93	92	92	94	90	90	89
34	100	80	63	84	88	86	83	79	80	79	84	62	59	43
34	1000	17	2	33	48	34	15	30	21	25	34	4	0	0
34	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
35	1	96	96	96	94	95	95	96	95	95	96	96	95	95
35	10	94	90	95	92	93	94	93	94	94	95	92	91	89
35	100	78	63	85	82	86	84	85	85	79	83	68	48	43
35	1000	9	5	31	34	37	20	13	23	22	34	4	0	0
35	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
36	1	96	96	96	96	95	97	96	95	96	95	97	95	95
36	10	95	88	95	95	95	94	93	93	94	95	91	91	90
36	100	77	68	88	86	85	82	86	78	84	78	62	56	45
36	1000	12	2	25	53	33	27	24	37	30	44	2	0	0
36	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
37	1	96	94	95	96	96	96	93	95	97	96	95	96	96
